beer_id,abv,ibu,name,style,ounces
0,0.05,,Pub Beer,American Pale Lager,12
1,0.066,,Devil's Cup,American Pale Ale (APA),12
2,0.071,,Rise of the Phoenix,American IPA,12
3,0.09,,Sinister,American Double / Imperial IPA,12
4,0.075,,Sex and Candy,American IPA,12
5,0.077,,Black Exodus,Oatmeal Stout,12
6,0.045,,Lake Street Express,American Pale Ale (APA),12
7,0.065,,Foreman,American Porter,12
8,0.055,,Jade,American Pale Ale (APA),12
9,0.086,,Cone Crusher,American Double / Imperial IPA,12
10,0.072,,Sophomoric Saison,Saison / Farmhouse Ale,12
11,0.073,,Regional Ring Of Fire,Saison / Farmhouse Ale,12
12,0.069,,Garce Selé,Saison / Farmhouse Ale,12
13,0.085,,Troll Destroyer,Belgian IPA,12
14,0.061,60,Bitter Bitch,American Pale Ale (APA),12
15,0.06,,Ginja Ninja,Cider,12
16,0.06,,Cherried Away,Cider,12
17,0.06,,Rhubarbarian,Cider,12
18,0.06,,BrightCider,Cider,12
19,0.082,,He Said Baltic-Style Porter,Baltic Porter,12
20,0.082,,He Said Belgian-Style Tripel,Tripel,12
21,0.099,92,Lower De Boom,American Barleywine,8.4
22,0.079,45,Fireside Chat,Winter Warmer,12
23,0.079,,Marooned On Hog Island,American Stout,12
24,0.044,42,Bitter American,American Pale Ale (APA),12
25,0.049,17,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12
26,0.049,17,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12
27,0.049,17,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12
28,0.07,70,21st Amendment IPA (2006),American IPA,12
29,0.07,70,Brew Free! or Die IPA (2008),American IPA,12
30,0.07,70,Brew Free! or Die IPA (2009),American IPA,12
31,0.085,52,Special Edition: Allies Win The War!,English Strong Ale,12
32,0.097,94,Hop Crisis,American Double / Imperial IPA,12
33,0.044,42,Bitter American (2011),American Pale Ale (APA),12
34,0.079,45,Fireside Chat (2010),Winter Warmer,12
35,0.068,65,Back in Black,American Black Ale,12
36,0.083,35,Monk's Blood,Belgian Dark Ale,12
37,0.07,65,Brew Free! or Die IPA,American IPA,12
38,0.049,17,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12
39,0.07,82,Bimini Twist,American IPA,12
40,0.05,,Beach Blonde,American Blonde Ale,12
41,0.059,,Rod Bender Red,American Amber / Red Ale,12
42,0.035,11,Passion Fruit Prussia,Berliner Weissbier,12
43,0.045,18,Send Help,American Blonde Ale,12
44,0.055,,Cast Iron Oatmeal Brown,American Brown Ale,12
45,0.06,,Reprise Centennial Red,American Amber / Red Ale,12
46,0.055,,Alter Ego,American Black Ale,12
47,0.065,,Divided Sky,American IPA,12
48,0.065,,Resurrected,American IPA,12
49,0.05,28,Contact High,American Pale Wheat Ale,12
50,0.065,,Galaxyfest,American IPA,16
51,0.05,45,Citrafest,American IPA,16
52,0.09,,Barn Yeti,Belgian Strong Dark Ale,16
53,0.069,65,Scarecrow,American IPA,16
54,0.09,50,Ironman,English Strong Ale,16
55,0.046,15,Honey Kolsch,Kölsch,16
56,0.052,18,Copperhead Amber,Belgian Dark Ale,16
57,0.059,75,Rude Parrot IPA,American IPA,16
58,0.054,30,British Pale Ale (2010),English Pale Ale,16
59,0.054,30,British Pale Ale,English Pale Ale,16
60,0.084,82,Ballz Deep Double IPA,American Double / Imperial IPA,16
61,0.038,,Wolfman's Berliner,Berliner Weissbier,12
62,0.055,26,Colorado Native,American Amber / Red Lager,12
63,0.055,26,Colorado Native (2011),American Amber / Red Lager,12
64,0.065,52,Jockamo IPA,American IPA,12
65,0.042,13,Purple Haze,Fruit / Vegetable Beer,12
66,0.045,17,Abita Amber,American Amber / Red Lager,12
67,0.082,68,Citra Ass Down,American IPA,16
68,0.05,20,The Brown Note,American Brown Ale,16
69,0.08,68,Citra Ass Down,American Double / Imperial IPA,16
70,0.125,80,London Balling,English Barleywine,16
71,0.077,25,35 K,Milk / Sweet Stout,16
72,0.042,42,A Beer,American Pale Ale (APA),16
73,0.05,25,Rules are Rules,German Pilsener,16
74,0.066,21,Flesh Gourd'n,Pumpkin Ale,16
75,0.04,13,Sho'nuff,Belgian Pale Ale,16
76,0.055,17,Bloody Show,American Pilsner,16
77,0.076,68,Rico Sauvin,American Double / Imperial IPA,16
78,0.051,38,Coq de la Marche,Saison / Farmhouse Ale,16
79,0.065,,Kamen Knuddeln,American Wild Ale,16
80,0.06,65,Pile of Face,American IPA,16
81,0.05,20,The Brown Note,English Brown Ale,16
82,0.053,35,Maylani's Coconut Stout,American Stout,16
83,0.05,35,Oatmeal PSA,American Pale Ale (APA),16
84,0.052,33,Pre Flight Pilsner,American Pilsner,16
85,0.04,20,P-Town Pilsner,American Pilsner,12
86,0.053,36,Klickitat Pale Ale,American Pale Ale (APA),12
87,0.082,103,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12
88,0.053,40,Freeride APA,American Pale Ale (APA),12
89,0.053,18,Alaskan Amber,Altbier,12
90,0.057,,Hopalicious,American Pale Ale (APA),12
91,0.043,,Kentucky Kölsch,Kölsch,16
92,0.065,,Kentucky IPA,American IPA,16
93,0.054,,Dusty Trail Pale Ale,American Pale Ale (APA),16
94,0.062,,Damnesia,American IPA,16
95,0.062,43,Desolation IPA,American IPA,16
96,0.059,,Liberty Ale,American IPA,12
97,0.065,,IPA,American IPA,12
98,0.045,,Summer Wheat,American Pale Wheat Ale,12
99,0.049,,California Lager,American Amber / Red Lager,12
100,0.056,,Brotherhood Steam,California Common / Steam Beer,12
101,0.042,,Blood Orange Gose,Gose,12
102,0.042,,Keebarlin' Pale Ale,American Pale Ale (APA),12
103,0.048,,"the Kimmie, the Yink and the Holy Gose",Gose,12
104,0.06,,Fall Hornin',Pumpkin Ale,12
105,0.057,13,Barney Flats Oatmeal Stout,Oatmeal Stout,12
106,0.056,4,Summer Solstice,Cream Ale,12
107,0.07,80,Hop Ottin' IPA,American IPA,12
108,0.058,15,Boont Amber Ale,American Amber / Red Ale,12
109,0.057,13,Barney Flats Oatmeal Stout,Oatmeal Stout,12
110,0.055,25,El Steinber Dark Lager,Vienna Lager,16
111,0.058,15,Boont Amber Ale (2010),American Amber / Red Ale,12
112,0.056,4,Summer Solstice Cerveza Crema (2009),Cream Ale,12
113,0.057,13,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12
114,0.069,6,Winter Solstice,Winter Warmer,12
115,0.07,80,Hop Ottin' IPA (2011),American IPA,12
116,0.058,15,Boont Amber Ale (2011),American Amber / Red Ale,12
117,0.056,4,Summer Solstice (2011),Cream Ale,12
118,0.055,28,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12
119,0.06,,Charlie's Rye IPA,American IPA,16
120,0.054,,River Pig Pale Ale,American Pale Ale (APA),16
121,0.047,,Oaky's Oatmeal Stout,Oatmeal Stout,16
122,0.05,,Angry Orchard Apple Ginger,Cider,16
123,0.05,,Angry Orchard Crisp Apple,Cider,16
124,0.05,,Angry Orchard Crisp Apple,Cider,12
125,0.068,,Golden One,Belgian Pale Ale,12
126,0.06,,Arjuna,Witbier,12
127,0.085,,Uroboros,American Stout,12
128,0.071,75,Long Leaf,American IPA,16
129,0.047,19,Honey Badger Blonde,American Blonde Ale,16
130,0.06,23,Porter (a/k/a Black Gold Porter),American Porter,16
131,0.06,55,Sky High Rye,American Pale Ale (APA),12
132,0.062,17,Whitsun,American Pale Wheat Ale,12
133,0.052,,On-On Ale (2008),American Pale Ale (APA),12
134,0.092,50,Quakertown Stout,American Double / Imperial Stout,12
135,0.051,20,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12
136,0.052,10,Mo's Gose,Gose,16
137,0.07,45,Green Bullet Organic India Pale Ale,American IPA,16
138,0.032,27,Rocket Girl,Kölsch,12
139,0.053,26,Ninja Porter,American Porter,12
140,0.06,69,Shiva IPA,American IPA,12
141,0.048,,Aslan Kölsch,Kölsch,16
142,0.077,,Aslan IPA,American IPA,16
143,0.077,,Aslan Amber,American Amber / Red Ale,16
144,0.056,27,This Season's Blonde,American Blonde Ale,12
145,0.07,67,Independence Pass Ale,American IPA,12
146,0.057,40,Trolley Stop Stout,American Stout,12
147,0.082,138,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12
148,0.062,35,Poop Deck Porter,American Porter,12
149,0.06,35,Old Red Beard Amber Ale,American Amber / Red Ale,12
