review_id,username,beer_id,rating,name,comment,pub_date,,,,,,,
1,mari,0,4,Pub Beer,Enjoyable,2010-10-30,,,,,,,
2,mari,1,4,Devil's Cup,Enjoyable,2016-10-31,,,,,,,
3,lluis,2,4,Rise of the Phoenix,It is good,2016-11-01,,,,,jadianes,It is good,9/18/20
4,carlos,3,2,Sinister,A special one,2016-11-02,,,,,john,Awesome,10/30/98
5,teus,4,5,Sex and Candy,It is good,2016-11-03,,,,,mari,A special one,12/1/15
6,jadianes,5,4,Black Exodus,Awesome,2016-11-04,,,,,yasset,Enjoyable,4/13/98
7,teus,6,4,Lake Street Express,"Hey, this is great stuff!",2016-11-05,,,,,carlos,"Hey, this is great stuff!",5/12/83
8,teus,7,3,Foreman,A special one,2016-11-06,,,,,teus,,
9,john,8,3,Jade,Awesome,2016-11-07,,,,,lluis,,
10,mari,9,5,Cone Crusher,A special one,2016-11-08,,,,,pepe,,
11,john,10,4,Sophomoric Saison,Awesome,2016-11-09,,,,,,,
12,mari,11,2,Regional Ring Of Fire,It is good,2016-11-10,,,,,,,
13,lluis,12,5,Garce Selé,It is good,2016-11-11,,,,,,,
14,lluis,13,3,Troll Destroyer,Awesome,2016-11-12,,,,,,,
15,lluis,14,3,Bitter Bitch,Awesome,2016-11-13,,,,,,,
16,yasset,15,4,Ginja Ninja,Awesome,2016-11-14,,,,,,,
17,mari,16,2,Cherried Away,It is good,2016-11-15,,,,,,,
18,carlos,17,5,Rhubarbarian,"Hey, this is great stuff!",2016-11-16,,,,,,,
19,yasset,18,5,BrightCider,A special one,2016-11-17,,,,,,,
20,lluis,19,1,He Said Baltic-Style Porter,A special one,2016-11-18,,,,,,,
21,teus,20,1,He Said Belgian-Style Tripel,Awesome,2016-11-19,,,,,,,
22,yasset,21,2,Lower De Boom,"Hey, this is great stuff!",2016-11-20,,,,,,,
23,john,22,5,Fireside Chat,A special one,2016-11-21,,,,,,,
24,mari,23,5,Marooned On Hog Island,Awesome,2016-11-22,,,,,,,
25,teus,24,5,Bitter American,"Hey, this is great stuff!",2016-11-23,,,,,,,
26,jadianes,25,4,Hell or High Watermelon Wheat (2009),"Hey, this is great stuff!",2016-11-24,,,,,,,
27,jadianes,26,4,Hell or High Watermelon Wheat (2009),A special one,2016-11-25,,,,,,,
28,jadianes,27,2,21st Amendment Watermelon Wheat Beer (2006),It is good,2016-11-26,,,,,,,
29,john,28,3,21st Amendment IPA (2006),Enjoyable,2016-11-27,,,,,,,
30,yasset,29,4,Brew Free! or Die IPA (2008),It is good,2016-11-28,,,,,,,
31,teus,30,4,Brew Free! or Die IPA (2009),Awesome,2016-11-29,,,,,,,
32,jadianes,31,2,Special Edition: Allies Win The War!,It is good,2016-11-30,,,,,,,
33,teus,32,5,Hop Crisis,It is good,2016-12-01,,,,,,,
34,pepe,33,5,Bitter American (2011),Awesome,2016-12-02,,,,,,,
35,mari,34,3,Fireside Chat (2010),A special one,2016-12-03,,,,,,,
36,yasset,35,4,Back in Black,It is good,2016-12-04,,,,,,,
37,mari,36,3,Monk's Blood,Enjoyable,2016-12-05,,,,,,,
38,teus,37,5,Brew Free! or Die IPA,"Hey, this is great stuff!",2016-12-06,,,,,,,
39,lluis,38,3,Hell or High Watermelon Wheat,Enjoyable,2016-12-07,,,,,,,
40,jadianes,39,5,Bimini Twist,"Hey, this is great stuff!",2016-12-08,,,,,,,
41,pepe,40,3,Beach Blonde,"Hey, this is great stuff!",2016-12-09,,,,,,,
42,yasset,41,4,Rod Bender Red,"Hey, this is great stuff!",2016-12-10,,,,,,,
43,teus,42,4,Passion Fruit Prussia,Enjoyable,2016-12-11,,,,,,,
44,yasset,43,3,Send Help,It is good,2016-12-12,,,,,,,
45,yasset,44,1,Cast Iron Oatmeal Brown,Enjoyable,2016-12-13,,,,,,,
46,carlos,45,1,Reprise Centennial Red,A special one,2016-12-14,,,,,,,
47,teus,46,4,Alter Ego,A special one,2016-12-15,,,,,,,
48,mari,47,5,Divided Sky,It is good,2016-12-16,,,,,,,
49,teus,48,5,Resurrected,Enjoyable,2016-12-17,,,,,,,
50,jadianes,49,2,Contact High,A special one,2016-12-18,,,,,,,
51,jadianes,50,5,Galaxyfest,Awesome,2016-12-19,,,,,,,
52,jadianes,51,5,Citrafest,Enjoyable,2016-12-20,,,,,,,
53,pepe,52,1,Barn Yeti,Enjoyable,2016-12-21,,,,,,,
54,john,53,1,Scarecrow,It is good,2016-12-22,,,,,,,
55,teus,54,5,Ironman,Awesome,2016-12-23,,,,,,,
56,jadianes,55,2,Honey Kolsch,Enjoyable,2016-12-24,,,,,,,
57,john,56,5,Copperhead Amber,A special one,2016-12-25,,,,,,,
58,mari,57,4,Rude Parrot IPA,A special one,2016-12-26,,,,,,,
59,john,58,5,British Pale Ale (2010),Awesome,2016-12-27,,,,,,,
60,carlos,59,4,British Pale Ale,A special one,2016-12-28,,,,,,,
61,john,60,4,Ballz Deep Double IPA,Awesome,2016-12-29,,,,,,,
62,carlos,61,5,Wolfman's Berliner,"Hey, this is great stuff!",2016-12-30,,,,,,,
63,yasset,62,3,Colorado Native,It is good,2016-12-31,,,,,,,
64,pepe,63,4,Colorado Native (2011),Enjoyable,2017-01-01,,,,,,,
65,yasset,64,2,Jockamo IPA,Awesome,2017-01-02,,,,,,,
66,john,65,5,Purple Haze,Enjoyable,2017-01-03,,,,,,,
67,yasset,66,3,Abita Amber,It is good,2017-01-04,,,,,,,
68,carlos,67,5,Citra Ass Down,Enjoyable,2017-01-05,,,,,,,
69,yasset,68,5,The Brown Note,A special one,2017-01-06,,,,,,,
70,carlos,69,4,Citra Ass Down,A special one,2017-01-07,,,,,,,
71,lluis,70,2,London Balling,Enjoyable,2017-01-08,,,,,,,
72,mari,71,3,35 K,Enjoyable,2017-01-09,,,,,,,
73,yasset,72,1,A Beer,Enjoyable,2017-01-10,,,,,,,
74,yasset,73,5,Rules are Rules,It is good,2017-01-11,,,,,,,
75,lluis,74,1,Flesh Gourd'n,Awesome,2017-01-12,,,,,,,
76,pepe,75,2,Sho'nuff,Enjoyable,2017-01-13,,,,,,,
77,john,76,2,Bloody Show,A special one,2017-01-14,,,,,,,
78,teus,77,3,Rico Sauvin,Enjoyable,2017-01-15,,,,,,,
79,mari,78,5,Coq de la Marche,Awesome,2017-01-16,,,,,,,
80,mari,79,1,Kamen Knuddeln,It is good,2017-01-17,,,,,,,
81,teus,80,4,Pile of Face,It is good,2017-01-18,,,,,,,
82,carlos,81,1,The Brown Note,Awesome,2017-01-19,,,,,,,
83,mari,82,3,Maylani's Coconut Stout,Enjoyable,2017-01-20,,,,,,,
84,pepe,83,1,Oatmeal PSA,"Hey, this is great stuff!",2017-01-21,,,,,,,
85,carlos,84,5,Pre Flight Pilsner,It is good,2017-01-22,,,,,,,
86,teus,85,1,P-Town Pilsner,"Hey, this is great stuff!",2017-01-23,,,,,,,
87,teus,86,2,Klickitat Pale Ale,A special one,2017-01-24,,,,,,,
88,jadianes,87,2,Yellow Wolf Imperial IPA,"Hey, this is great stuff!",2017-01-25,,,,,,,
89,yasset,88,2,Freeride APA,Enjoyable,2017-01-26,,,,,,,
90,john,89,4,Alaskan Amber,It is good,2017-01-27,,,,,,,
91,pepe,90,2,Hopalicious,Enjoyable,2017-01-28,,,,,,,
92,john,91,1,Kentucky Kölsch,Enjoyable,2017-01-29,,,,,,,
93,jadianes,92,5,Kentucky IPA,Awesome,2017-01-30,,,,,,,
94,pepe,93,3,Dusty Trail Pale Ale,Awesome,2017-01-31,,,,,,,
95,carlos,94,4,Damnesia,It is good,2017-02-01,,,,,,,
96,mari,95,4,Desolation IPA,Awesome,2017-02-02,,,,,,,
97,yasset,96,3,Liberty Ale,It is good,2017-02-03,,,,,,,
98,mari,97,5,IPA,"Hey, this is great stuff!",2017-02-04,,,,,,,
99,jadianes,98,5,Summer Wheat,"Hey, this is great stuff!",2017-02-05,,,,,,,
100,john,99,5,California Lager,Enjoyable,2017-02-06,,,,,,,
101,jadianes,100,3,Brotherhood Steam,Awesome,2017-02-07,,,,,,,
102,pepe,101,5,Blood Orange Gose,A special one,2017-02-08,,,,,,,
103,teus,102,5,Keebarlin' Pale Ale,"Hey, this is great stuff!",2017-02-09,,,,,,,
104,teus,103,5,"the Kimmie, the Yink and the Holy Gose","Hey, this is great stuff!",2017-02-10,,,,,,,
105,yasset,104,2,Fall Hornin',Awesome,2017-02-11,,,,,,,
106,teus,105,3,Barney Flats Oatmeal Stout,It is good,2017-02-12,,,,,,,
107,yasset,106,5,Summer Solstice,It is good,2017-02-13,,,,,,,
108,lluis,107,4,Hop Ottin' IPA,"Hey, this is great stuff!",2017-02-14,,,,,,,
109,lluis,108,3,Boont Amber Ale,A special one,2017-02-15,,,,,,,
110,carlos,109,5,Barney Flats Oatmeal Stout,Enjoyable,2017-02-16,,,,,,,
111,carlos,110,5,El Steinber Dark Lager,Enjoyable,2017-02-17,,,,,,,
112,carlos,111,4,Boont Amber Ale (2010),It is good,2017-02-18,,,,,,,
113,jadianes,112,2,Summer Solstice Cerveza Crema (2009),Awesome,2017-02-19,,,,,,,
114,yasset,113,3,Barney Flats Oatmeal Stout (2012),Awesome,2017-02-20,,,,,,,
115,carlos,114,2,Winter Solstice,It is good,2017-02-21,,,,,,,
116,mari,115,5,Hop Ottin' IPA (2011),Awesome,2017-02-22,,,,,,,
117,mari,116,5,Boont Amber Ale (2011),A special one,2017-02-23,,,,,,,
118,mari,117,2,Summer Solstice (2011),It is good,2017-02-24,,,,,,,
119,teus,118,2,Poleeko Gold Pale Ale (2009),"Hey, this is great stuff!",2017-02-25,,,,,,,
120,teus,119,2,Charlie's Rye IPA,Awesome,2017-02-26,,,,,,,
121,carlos,120,3,River Pig Pale Ale,A special one,2017-02-27,,,,,,,
122,yasset,121,2,Oaky's Oatmeal Stout,"Hey, this is great stuff!",2017-02-28,,,,,,,
